room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
8599185,45253788,Shared room,,University City,0,0.0,1,1.0,80.0,,32.858347,-117.226531,2017-02-17 13:31:29.866234
5557131,28783513,Shared room,,Mission Valley,0,0.0,1,1.0,73.0,,32.766754,-117.157349,2017-02-17 13:31:29.863453
13194731,6982725,Shared room,,Midtown,0,0.0,1,1.0,70.0,,32.74068,-117.161,2017-02-17 13:31:29.860880
11637213,24705242,Shared room,,Pacific Beach,2,0.0,3,1.0,63.0,,32.795259,-117.252712,2017-02-17 13:31:29.858375
13673011,79540688,Shared room,,Ocean Beach,0,0.0,1,1.0,70.0,,32.752657,-117.244376,2017-02-17 13:31:29.855657
8584204,45178150,Shared room,,Otay Ranch,0,0.0,1,1.0,76.0,,32.627798,-116.993385,2017-02-17 13:31:29.853207
3560755,17926311,Shared room,,North Hills,1,0.0,1,1.0,79.0,,32.740375,-117.121017,2017-02-17 13:31:29.849719
8509883,44720110,Shared room,,North Hills,0,0.0,1,1.0,70.0,,32.750603,-117.136823,2017-02-17 13:31:29.847219
11437470,26629613,Shared room,,Mountain View,0,0.0,1,1.0,70.0,,32.703323,-117.114468,2017-02-17 13:31:29.844224
3688119,13209607,Shared room,,Cortez Hill,1,0.0,2,1.0,78.0,,32.724846,-117.165529,2017-02-17 13:31:29.841475
8503021,43629536,Shared room,,Core,0,0.0,1,1.0,77.0,,32.717912,-117.15761,2017-02-17 13:31:28.619793
13301094,27653191,Shared room,,North Hills,0,0.0,3,1.0,78.0,,32.747993,-117.127859,2017-02-17 13:31:28.617604
9327098,31043523,Shared room,,Tierrasanta,0,0.0,2,1.0,75.0,,32.836102,-117.084967,2017-02-17 13:31:28.615407
14571958,87299650,Shared room,,Loma Portal,1,0.0,1,1.0,65.0,,32.75454,-117.220988,2017-02-17 13:31:28.609415
14519812,89714276,Shared room,,Nestor,1,0.0,1,1.0,65.0,,32.559242,-117.069727,2017-02-17 13:31:28.607217
15550213,54899872,Shared room,,City Heights West,0,0.0,2,1.0,80.0,,32.741576,-117.107706,2017-02-17 13:31:28.605035
13925071,78172029,Shared room,,Mission Bay,0,0.0,3,1.0,75.0,,32.792049,-117.233239,2017-02-17 13:31:28.602950
14809403,6982725,Shared room,,Midtown,1,0.0,1,1.0,70.0,,32.740603,-117.160451,2017-02-17 13:31:28.600419
16788370,111548010,Shared room,,Bird Land,0,0.0,5,1.0,75.0,,32.786432,-117.154225,2017-02-17 13:31:28.598216
14762372,21234531,Shared room,,Ocean Beach,7,4.5,3,1.0,70.0,,32.736471,-117.252142,2017-02-17 13:31:28.593925
14351163,87948847,Shared room,,Mountain View,0,0.0,1,1.0,80.0,,32.699822,-117.106789,2017-02-17 13:31:28.591695
552350,2714220,Shared room,,East Village,61,5.0,3,1.0,68.0,,32.709507,-117.153487,2017-02-17 13:31:28.589158
7146725,37425840,Shared room,,Loma Portal,46,4.5,3,1.0,80.0,,32.751518,-117.240635,2017-02-17 13:31:28.587074
11534204,60661667,Shared room,,Pacific Beach,9,5.0,2,1.0,75.0,,32.799026,-117.250476,2017-02-17 13:31:28.582281
16158112,105463935,Shared room,,Rolando,1,0.0,1,1.0,80.0,,32.754225,-117.060668,2017-02-17 13:31:28.579894
3184275,420349,Shared room,,Ocean Beach,21,5.0,2,1.0,50.0,,32.750536,-117.248263,2017-02-17 13:31:27.067839
12037668,64434828,Shared room,,Pacific Beach,3,4.0,16,1.0,44.0,,32.793507,-117.255784,2017-02-17 13:31:27.065711
2539600,12624628,Shared room,,Normal Heights,1,0.0,3,1.0,52.0,,32.761598,-117.117895,2017-02-17 13:31:27.057691
14453912,14326970,Shared room,,Allied Gardens,0,0.0,1,1.0,49.0,,32.814233,-117.082243,2017-02-17 13:31:27.055378
15912875,38256467,Shared room,,Mission Bay,2,0.0,2,1.0,50.0,,32.792876,-117.244455,2017-02-17 13:31:27.053298
15534856,7157942,Shared room,,Loma Portal,0,0.0,2,1.0,50.0,,32.754486,-117.226677,2017-02-17 13:31:27.048671
14280438,87120548,Shared room,,Old Town,3,5.0,1,1.0,43.0,,32.745752,-117.185812,2017-02-17 13:31:27.045246
8015773,42066730,Shared room,,Ocean Beach,0,0.0,2,1.0,60.0,,32.751396,-117.247132,2017-02-17 13:31:25.688553
14120969,85124856,Shared room,,Pacific Beach,2,0.0,2,1.0,50.0,,32.802658,-117.231557,2017-02-17 13:31:25.685016
7111283,36768715,Shared room,,Grant Hill,1,0.0,2,1.0,53.0,,32.709674,-117.135396,2017-02-17 13:31:25.679212
9476905,49119394,Shared room,,Pacific Beach,1,0.0,4,1.0,50.0,,32.803801,-117.219717,2017-02-17 13:31:25.674244
1404080,7577799,Shared room,,Webster,5,5.0,1,1.0,50.0,,32.727797,-117.092351,2017-02-17 13:31:25.668662
14415375,88685263,Shared room,,Pacific Beach,4,4.0,1,1.0,41.0,,32.795389,-117.247509,2017-02-17 13:31:25.661946
14298030,84945097,Shared room,,Cortez Hill,8,5.0,2,1.0,49.0,,32.723025,-117.157293,2017-02-17 13:31:25.659919
7113690,36768715,Shared room,,Grant Hill,4,4.5,2,1.0,58.0,,32.710754,-117.135659,2017-02-17 13:31:25.657467
8538168,40546733,Shared room,,Ocean Beach,0,0.0,1,1.0,42.0,,32.744516,-117.252202,2017-02-17 13:31:24.066569
15903727,40447834,Shared room,,Midtown,2,0.0,2,1.0,50.0,,32.743962,-117.161987,2017-02-17 13:31:24.063966
15599168,91701639,Shared room,,Bay Park,0,0.0,1,1.0,50.0,,32.777025,-117.205503,2017-02-17 13:31:24.061699
16794948,94688701,Shared room,,Carmel Valley,2,0.0,1,1.0,47.0,,32.952857,-117.220549,2017-02-17 13:31:24.056480
13651242,79270534,Shared room,,City Heights West,2,0.0,2,1.0,45.0,,32.746067,-117.108055,2017-02-17 13:31:24.052605
7112864,22022285,Shared room,,Midtown,5,4.5,1,1.0,45.0,,32.748995,-117.151034,2017-02-17 13:31:24.050049
16570807,5760800,Shared room,,Bay Park,1,0.0,1,1.0,44.0,,32.798794,-117.198224,2017-02-17 13:31:24.047444
14573463,33494433,Shared room,,Memorial,5,5.0,2,1.0,42.0,,32.704036,-117.130122,2017-02-17 13:31:24.044627
6263202,3906672,Shared room,,La Jolla,33,5.0,2,1.0,53.0,,32.862226,-117.237565,2017-02-17 13:31:24.041740
11696586,44543657,Shared room,,La Jolla,33,4.5,1,1.0,42.0,,32.827465,-117.277424,2017-02-17 13:31:24.039109
9067929,17618378,Shared room,,Clairemont Mesa,2,0.0,1,1.0,50.0,,32.80846,-117.159887,2017-02-17 13:31:24.034969
1955953,10109244,Shared room,,City Heights West,0,0.0,2,1.0,50.0,,32.747743,-117.115494,2017-02-17 13:31:24.031367
14826978,73438931,Shared room,,University City,3,4.0,2,1.0,55.0,,32.869218,-117.22515,2017-02-17 13:31:24.028969
16900778,112801855,Shared room,,Pacific Beach,1,0.0,1,1.0,60.0,,32.798866,-117.256943,2017-02-17 13:31:24.026793
13511200,45782622,Shared room,,Midtown,11,5.0,2,1.0,50.0,,32.747007,-117.159577,2017-02-17 13:31:24.023009
13961101,83181950,Shared room,,North Hills,9,5.0,1,1.0,50.0,,32.750562,-117.139123,2017-02-17 13:31:24.020059
12632530,2834954,Shared room,,East Village,23,4.5,2,1.0,28.0,,32.71371,-117.1589,2017-02-17 13:31:21.289395
9171569,3324885,Shared room,,Cortez Hill,42,4.5,1,1.0,27.0,,32.72151,-117.16561,2017-02-17 13:31:21.287196
3791859,3324885,Shared room,,Little Italy,56,5.0,8,1.0,28.0,,32.721913,-117.165905,2017-02-17 13:31:21.284861
5302973,3324885,Shared room,,Cortez Hill,12,5.0,1,1.0,38.0,,32.722517,-117.165635,2017-02-17 13:31:21.282528
5303006,3324885,Shared room,,Cortez Hill,5,4.5,1,1.0,36.0,,32.722491,-117.165542,2017-02-17 13:31:21.278821
960211,3324885,Shared room,,Little Italy,18,5.0,2,1.0,29.0,,32.723202,-117.165991,2017-02-17 13:31:21.276752
