room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
9566344,1194,43224953,Shared room,,San Diego,,Midtown,23,4.0,16,1.0,,76.0,,2017-05-06 12:41:41.716035,32.748244,-117.160439,0101000020E61000003080F0A1444A5DC0D0B69A75C65F4040
15988833,1194,2457695,Shared room,,San Diego,,Mira Mesa,1,0.0,10,1.0,,60.0,,2017-05-06 12:41:40.562282,32.933597,-117.154933,0101000020E61000008E041A6CEA495DC06552431B80774040
17454799,1194,118169093,Shared room,,San Diego,,Gaslamp Quarter,0,0.0,2,1.0,,77.0,,2017-05-06 12:41:30.018701,32.714763,-117.16012,0101000020E6100000E0DBF4673F4A5DC007B29E5A7D5B4040
15436504,1194,64434828,Shared room,,San Diego,,Pacific Beach,5,5.0,4,1.0,,63.0,,2017-05-06 12:41:28.558187,32.792349,-117.255925,0101000020E6100000A54E401361505DC0580229B16B654040
17347817,1194,82048758,Shared room,,San Diego,,Normal Heights,4,4.5,2,1.0,,70.0,,2017-05-06 12:41:28.555257,32.761373,-117.117983,0101000020E6100000F99E91088D475DC05987A3AB74614040
6991211,1194,36653968,Shared room,,San Diego,,Loma Portal,2,0.0,2,1.0,,50.0,,2017-05-06 12:41:25.921045,32.752065,-117.224204,0101000020E610000079E8BB5B594E5DC0AEBB79AA43604040
16261666,1194,2457695,Shared room,,San Diego,,Mira Mesa,0,0.0,2,1.0,,57.0,,2017-05-06 12:41:25.308272,32.930127,-117.142844,0101000020E6100000821B295B24495DC03410CB660E774040
17885612,1194,35672112,Shared room,,San Diego,,La Jolla,0,0.0,2,1.0,,60.0,,2017-05-06 12:41:23.549294,32.829184,-117.277552,0101000020E61000001FBC7669C3515DC0E82E89B3226A4040
9450068,1194,28422176,Shared room,,San Diego,,Gaslamp Quarter,39,4.5,4,1.0,,56.0,,2017-05-06 12:41:23.546732,32.711275,-117.160423,0101000020E6100000ADA1D45E444A5DC030BB270F0B5B4040
12885336,1194,2834954,Shared room,,San Diego,,Midtown,35,5.0,3,1.0,,35.0,,2017-05-06 12:41:21.299591,32.746575,-117.152564,0101000020E610000001A3CB9BC3495DC06F8104C58F5F4040
18394652,1194,2834954,Shared room,,San Diego,,Midtown,2,0.0,4,1.0,,30.0,,2017-05-06 12:41:21.283630,32.746739,-117.150933,0101000020E6100000C7B8E2E2A8495DC0E9D2BF24955F4040
14304148,1194,15284591,Shared room,,San Diego,,Gaslamp Quarter,0,0.0,2,1.0,,350.0,,2017-05-06 12:41:19.911365,32.710059,-117.160217,0101000020E6100000D9D0CDFE404A5DC0809D9B36E35A4040
7226946,1194,37835744,Shared room,,San Diego,,San Ysidro,0,0.0,6,1.0,,300.0,,2017-05-06 12:41:18.900218,32.55834,-117.050867,0101000020E6100000855CA96741435DC03A0664AF77474040
8812535,1194,46166426,Shared room,,San Diego,,Linda Vista,0,0.0,1,1.0,,250.0,,2017-05-06 12:41:18.894559,32.772858,-117.17134,0101000020E6100000C91F0C3CF74A5DC0DA39CD02ED624040
14107284,1194,44389825,Shared room,,San Diego,,Marina,0,0.0,3,1.0,,265.0,,2017-05-06 12:41:18.891652,32.715687,-117.169837,0101000020E6100000A629029CDE4A5DC01096B1A19B5B4040
16646908,1194,65245312,Shared room,,San Diego,,College Area,0,0.0,2,1.0,,200.0,,2017-05-06 12:41:17.444923,32.769798,-117.073428,0101000020E610000016A75A0BB3445DC05B43A9BD88624040
3363247,1194,16967657,Shared room,,San Diego,,East Village,0,0.0,2,1.0,,165.0,,2017-05-06 12:41:16.435929,32.703445,-117.158385,0101000020E610000053CBD6FA224A5DC072C45A7C0A5A4040
5940190,1194,26593632,Shared room,,San Diego,,Old Town,1,0.0,1,1.0,,150.0,,2017-05-06 12:41:16.432832,32.75435,-117.162946,0101000020E6100000E6400FB56D4A5DC06ADE718A8E604040
