USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
CA	06001400100	6894340	0	2.662	0.	37.8676275	-122.231946                                                                                                                                                
CA	06001400200	587450	0	0.227	0.	37.8481386	-122.2495968                                                                                                                                                
CA	06001400300	1105329	0	0.427	0.	37.8405983	-122.2544365                                                                                                                                               
CA	06001400400	714728	0	0.276	0.	37.8482803	-122.2574533                                                                                                                                                
CA	06001400500	590307	0	0.228	0.	37.8485412	-122.2647277                                                                                                                                                
CA	06001400600	297856	0	0.115	0.	37.8419909	-122.2648882                                                                                                                                                
CA	06001400700	880303	0	0.34	0.	37.8417667	-122.2723529                                                                                                                                                 
CA	06001400800	696240	0	0.269	0.	37.8454675	-122.2833944                                                                                                                                                
CA	06001400900	420877	0	0.163	0.	37.8394912	-122.2802646                                                                                                                                                
CA	06001401000	1144333	0	0.442	0.	37.8312255	-122.2719014                                                                                                                                               
CA	06001401100	883273	0	0.341	0.	37.8305038	-122.2638582                                                                                                                                                
CA	06001401200	665876	0	0.257	0.	37.8306139	-122.2579003                                                                                                                                                
CA	06001401300	858458	0	0.331	0.	37.8181162	-122.2666978                                                                                                                                                
CA	06001401400	758204	0	0.293	0.	37.820756	-122.2733874                                                                                                                                                 
CA	06001401500	467740	0	0.181	0.	37.8229286	-122.2806336                                                                                                                                                
CA	06001401600	636068	0	0.246	0.	37.8173716	-122.2814825                                                                                                                                                
CA	06001401700	5757361	5813128	2.223	2.244	37.8225184	-122.3077741                                                                                                                                      
CA	06001401800	298634	0	0.115	0.	37.8095326	-122.2982355                                                                                                                                                
CA	06001402200	712081	0	0.275	0.	37.8063521	-122.2963073                                                                                                                                                
CA	06001402400	337079	0	0.13	0.	37.812031	-122.2824569                                                                                                                                                  
CA	06001402500	365454	0	0.141	0.	37.8057305	-122.2847803                                                                                                                                                
CA	06001402600	318842	0	0.123	0.	37.8042701	-122.2799551                                                                                                                                                
CA	06001402700	398820	0	0.154	0.	37.8103873	-122.276991                                                                                                                                                 
CA	06001402800	398312	0	0.154	0.	37.808718	-122.2715001                                                                                                                                                 
CA	06001402900	391799	0	0.151	0.	37.8071721	-122.2667847                                                                                                                                                
