year,geo_name,geo,income
2013,"Census Tract 83.43","14000US06073008343",52024.0
2014,"Census Tract 83.43","14000US06073008343",53333.0
2015,"Census Tract 83.43","14000US06073008343",51515.0
2013,"Census Tract 83.31","14000US06073008331",145000.0
2014,"Census Tract 83.31","14000US06073008331",155724.0
2015,"Census Tract 83.31","14000US06073008331",160417.0
2013,"Census Tract 83.36","14000US06073008336",126442.0
2014,"Census Tract 83.36","14000US06073008336",128906.0
2015,"Census Tract 83.36","14000US06073008336",129375.0
2013,"Census Tract 83.37","14000US06073008337",111343.0
2014,"Census Tract 83.37","14000US06073008337",111620.0
2015,"Census Tract 83.37","14000US06073008337",127721.0
2013,"Census Tract 83.52","14000US06073008352",85500.0
2014,"Census Tract 83.52","14000US06073008352",95083.0
2015,"Census Tract 83.52","14000US06073008352",89563.0
2013,"Census Tract 83.40","14000US06073008340",76554.0
2014,"Census Tract 83.40","14000US06073008340",82910.0
2015,"Census Tract 83.40","14000US06073008340",90099.0
2013,"Census Tract 83.41","14000US06073008341",68696.0
2014,"Census Tract 83.41","14000US06073008341",64808.0
2015,"Census Tract 83.41","14000US06073008341",70208.0
2013,"Census Tract 83.44","14000US06073008344",102212.0
2014,"Census Tract 83.44","14000US06073008344",108636.0
2015,"Census Tract 83.44","14000US06073008344",102386.0
2013,"Census Tract 83.45","14000US06073008345",69057.0
2014,"Census Tract 83.45","14000US06073008345",71250.0
2015,"Census Tract 83.45","14000US06073008345",73177.0
2013,"Census Tract 83.51","14000US06073008351",66522.0
2014,"Census Tract 83.51","14000US06073008351",67011.0
2015,"Census Tract 83.51","14000US06073008351",68611.0
2013,"Census Tract 83.48","14000US06073008348",89179.0
2014,"Census Tract 83.48","14000US06073008348",91330.0
2015,"Census Tract 83.48","14000US06073008348",98774.0
2013,"Census Tract 83.49","14000US06073008349",79032.0
2014,"Census Tract 83.49","14000US06073008349",88859.0
2015,"Census Tract 83.49","14000US06073008349",96467.0
2013,"Census Tract 83.53","14000US06073008353",82794.0
2014,"Census Tract 83.53","14000US06073008353",81715.0
2015,"Census Tract 83.53","14000US06073008353",79583.0
2013,"Census Tract 83.57","14000US06073008357",81098.0
2014,"Census Tract 83.57","14000US06073008357",80682.0
2015,"Census Tract 83.57","14000US06073008357",79719.0
2013,"Census Tract 83.55","14000US06073008355",99563.0
2014,"Census Tract 83.55","14000US06073008355",103333.0
2015,"Census Tract 83.55","14000US06073008355",98875.0
2013,"Census Tract 83.56","14000US06073008356",73482.0
2014,"Census Tract 83.56","14000US06073008356",84364.0
2015,"Census Tract 83.56","14000US06073008356",85583.0
2013,"Census Tract 83.58","14000US06073008358",75276.0
2014,"Census Tract 83.58","14000US06073008358",77881.0
2015,"Census Tract 83.58","14000US06073008358",77675.0
2013,"Census Tract 83.60","14000US06073008360",74068.0
2014,"Census Tract 83.60","14000US06073008360",77500.0
2015,"Census Tract 83.60","14000US06073008360",76250.0
2013,"Census Tract 85.02","14000US06073008502",63041.0
2014,"Census Tract 85.02","14000US06073008502",64933.0
2015,"Census Tract 85.02","14000US06073008502",60517.0
2013,"Census Tract 85.04","14000US06073008504",57904.0
2014,"Census Tract 85.04","14000US06073008504",58324.0
2015,"Census Tract 85.04","14000US06073008504",63848.0
2013,"Census Tract 85.05","14000US06073008505",71629.0
2014,"Census Tract 85.05","14000US06073008505",62378.0
2015,"Census Tract 85.05","14000US06073008505",61215.0
2013,"Census Tract 85.06","14000US06073008506",71376.0
2014,"Census Tract 85.06","14000US06073008506",77929.0
2015,"Census Tract 85.06","14000US06073008506",77905.0
2013,"Census Tract 85.07","14000US06073008507",62690.0
2014,"Census Tract 85.07","14000US06073008507",64875.0
2015,"Census Tract 85.07","14000US06073008507",65612.0
2013,"Census Tract 85.09","14000US06073008509",61972.0
2014,"Census Tract 85.09","14000US06073008509",61680.0
2015,"Census Tract 85.09","14000US06073008509",62643.0
2013,"Census Tract 85.10","14000US06073008510",44113.0
2014,"Census Tract 85.10","14000US06073008510",44281.0
2015,"Census Tract 85.10","14000US06073008510",46638.0
2013,"Census Tract 85.12","14000US06073008512",81981.0
2014,"Census Tract 85.12","14000US06073008512",83750.0
2015,"Census Tract 85.12","14000US06073008512",85379.0
2013,"Census Tract 173.04","14000US06073017304",73363.0
2014,"Census Tract 173.04","14000US06073017304",74212.0
2015,"Census Tract 173.04","14000US06073017304",80231.0
2013,"Census Tract 85.13","14000US06073008513",94063.0
2014,"Census Tract 85.13","14000US06073008513",96570.0
2015,"Census Tract 85.13","14000US06073008513",95430.0
2013,"Census Tract 86","14000US06073008600",46310.0
2014,"Census Tract 86","14000US06073008600",48062.0
2015,"Census Tract 86","14000US06073008600",45811.0
2013,"Census Tract 87.01","14000US06073008701",60438.0
