room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
4942702,25474683.0,Private room,,Ocean Beach,30,4.5,1.0,1.0,60.0,1.0,32.737741,-117.244501,2016-01-20 06:37:53.759885
7971512,5537218.0,Entire home/apt,,Mission Bay,0,,,3.0,375.0,3.0,32.761981,-117.250031,2016-01-20 06:37:44.079120
1811134,874515.0,Entire home/apt,,Mission Bay,3,4.5,2.0,0.0,116.0,3.0,32.768104,-117.252021,2016-01-20 06:37:42.152222
4607640,23875631.0,Entire home/apt,,North Hills,0,,2.0,1.0,120.0,1.0,32.746879,-117.127673,2016-01-20 06:37:37.880897
9841458,30120555.0,Shared room,,East Village,0,,1.0,1.0,65.0,1.0,32.711652,-117.155347,2016-01-20 06:37:31.452911
1190878,3708886.0,Entire home/apt,,University City,15,5.0,5.0,3.0,325.0,7.0,32.856021,-117.195682,2016-01-20 06:37:24.354831
4401182,21748484.0,Entire home/apt,,Mission Bay,14,4.5,4.0,1.0,200.0,3.0,32.760175,-117.25181,2016-01-20 06:37:18.971402
1887465,639087.0,Entire home/apt,,North Hills,31,5.0,,4.0,295.0,3.0,32.752979,-117.136763,2016-01-20 06:37:11.924560
4227110,2503251.0,Entire home/apt,,Mission Bay,37,5.0,,4.0,358.0,7.0,32.793951,-117.234921,2016-01-20 06:37:09.445727
1039977,5726092.0,Private room,,City Heights East,11,4.5,4.0,1.0,75.0,3.0,32.742738,-117.08273,2016-01-20 06:36:59.455967
3053005,2412718.0,Entire home/apt,,Clairemont Mesa,7,5.0,3.0,0.0,74.0,1.0,32.82078,-117.188391,2016-01-20 06:36:51.994102
1500120,6133827.0,Entire home/apt,,South Park,6,3.5,2.0,0.0,99.0,1.0,32.717452,-117.127633,2016-01-20 06:36:47.903663
8609313,2442532.0,Entire home/apt,,Balboa Park,1,4.0,5.0,2.0,350.0,3.0,32.728252,-117.13397,2016-01-20 06:36:41.027472
222817,1156979.0,Private room,,City Heights West,105,5.0,1.0,1.0,36.0,3.0,32.753552,-117.106306,2016-01-20 06:36:23.254072
2254403,11510170.0,Entire home/apt,,Mission Bay,2,5.0,,2.0,225.0,7.0,32.760927,-117.250484,2016-01-20 06:36:07.687287
9793855,15689672.0,Entire home/apt,,Loma Portal,0,,3.0,1.0,85.0,9.0,32.748491,-117.209746,2016-01-20 06:36:04.860917
7952409,7245568.0,Entire home/apt,,Pacific Beach,5,4.5,,2.0,177.0,,32.793284,-117.24875,2016-01-20 06:36:02.345964
2175307,4496635.0,Entire home/apt,,Old Town,5,4.5,,4.0,500.0,3.0,32.754318,-117.187948,2016-01-20 06:35:56.825432
1799037,6006790.0,Private room,,North Hills,1,5.0,,1.0,85.0,1.0,32.743184,-117.127425,2016-01-20 06:35:54.482913
126344,546519.0,Entire home/apt,,Pacific Beach,65,5.0,,3.0,199.0,2.0,32.805716,-117.259359,2016-01-20 06:35:46.386956
3748697,3120502.0,Entire home/apt,,Ocean Beach,6,4.5,4.0,2.0,140.0,1.0,32.747156,-117.249068,2016-01-20 06:35:38.357312
