room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
1285158,1316,3324885,Shared room,,San Diego,,Cortez Hill,30,4.5,4,1.0,,62.0,,2017-06-12 04:24:02.298947,32.723916,-117.164836,0101000020E6100000054D4BAC8C4A5DC08C868C47A95C4040
18391257,1316,32295628,Shared room,,San Diego,,Mission Bay,0,0.0,6,1.0,,70.0,,2017-06-12 04:24:02.203720,32.77357,-117.252709,0101000020E6100000E9995E622C505DC057957D5704634040
3184275,1316,420349,Shared room,,San Diego,,Ocean Beach,21,5.0,2,1.0,,70.0,,2017-06-12 04:24:02.145217,32.750536,-117.248263,0101000020E6100000A3737E8AE34F5DC03E3C4B9011604040
18777857,1316,50266793,Shared room,,San Diego,,Bay Park,1,0.0,3,1.0,,78.0,,2017-06-12 04:23:59.818040,32.80237,-117.194165,0101000020E6100000C84109336D4C5DC051A5660FB4664040
16929599,1316,97914402,Shared room,,San Diego,,University City,2,0.0,4,1.0,,70.0,,2017-06-12 04:23:59.762341,32.867281,-117.220206,0101000020E61000008318E8DA174E5DC099B85510036F4040
17957731,1316,2834954,Shared room,,San Diego,,Midtown,2,0.0,3,1.0,,40.0,,2017-06-12 04:23:57.350092,32.748581,-117.150745,0101000020E610000046425BCEA5495DC018B49080D15F4040
18393036,1316,32295628,Shared room,,San Diego,,Mission Bay,0,0.0,2,1.0,,58.0,,2017-06-12 04:23:55.494900,32.773113,-117.25326,0101000020E6100000A3586E6935505DC0658EE55DF5624040
18817044,1316,131016216,Shared room,,San Diego,,Mission Bay,0,0.0,16,1.0,,50.0,,2017-06-12 04:23:53.234188,32.771462,-117.25206,0101000020E61000004E2844C021505DC0AA0D4E44BF624040
17944528,1316,2834954,Shared room,,San Diego,,Midtown,6,5.0,2,1.0,,40.0,,2017-06-12 04:23:49.787722,32.748485,-117.152562,0101000020E610000031276893C3495DC0F645425BCE5F4040
12632530,1316,2834954,Shared room,,San Diego,,East Village,30,4.5,2,1.0,,34.0,,2017-06-12 04:23:49.784133,32.71371,-117.1589,0101000020E610000067D5E76A2B4A5DC0016A6AD95A5B4040
14256398,1316,43531949,Shared room,,San Diego,,Scripps Ranch,2,0.0,2,1.0,,35.0,,2017-06-12 04:23:49.763771,32.916694,-117.110735,0101000020E610000072E1404816475DC03F389F3A56754040
17415717,1316,2834954,Shared room,,San Diego,,Midtown,12,5.0,2,1.0,,30.0,,2017-06-12 04:23:49.758935,32.746844,-117.150832,0101000020E61000002DCC423BA7495DC05F9B8D95985F4040
